,,,,,,
,,,,,,
,Name,Weight (kg),Distance to Sun (km),Color,Visits,
,,,,,,
,Mercury,328500000000000000000000,57910000,gray,,
,Venus,4867000000000000000000000,108200000,yellow,,
,Earth,5972000000000000000000000,149600000,blue,,
,Mars,639000000000000000000000,227900000,reddish brown,,
,Jupiter,1898000000000000000000000000,778500000,orange,,
,Saturn,568300000000000000000000000,1434000000,pale gold,,
,Uranus,86810000000000000000000000,2871000000,pale blue,,
,Neptune,102400000000000000000000000,4495000000,pale blue,,
,Pluto,13100000000000000000000,3670000000,gray,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,